CANDIDATO_ID;CANDIDATO;CURSO_ID;CURSO;PROCESSO_ID;PROCESSO;PERIODO_LETIVO;FORMA_PAGAMENTO_ID;FORMA_PAGAMENTO;BOLSA_ESTUDO;CALL_CENTER;VALOR;DATA_PREINSCRICAO;HORA_PREINSCRICAO;DATA_INSCRICAO;HORA_INSCRICAO;DATA_PAGINSCRICAO;HORA_PAGINSCRICAO
14194;Candidato 14194;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190213;1443;20190213;1458;20190213;1501
14194;Candidato 14194;4;Curso 4;21;Processo 21;2019/2;2;Cartão de Crédito;0;0;300.00;20190417;1828;20190417;1834;20190417;1840
14195;Candidato 14195;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1455;20190213;1457;20190213;0
14196;Candidato 14196;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1532;20190213;1745;20190213;0
14197;Candidato 14197;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1547;20190213;1557;;
14198;Candidato 14198;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1553;20190213;1555;;
14200;Candidato 14200;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1615;20190213;1617;20190214;0
14201;Candidato 14201;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1615;;;;
14202;Candidato 14202;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1623;20190213;1626;20190215;0
14202;Candidato 14202;4;Curso 4;22;Processo 22;2019/2;;;0;1;;20190518;1114;20190518;1116;;
14203;Candidato 14203;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1637;20190213;1648;;
14204;Candidato 14204;4;Curso 4;16;Processo 16;2019/1;2;Cartão de Crédito;0;0;100.00;20190213;1637;20190213;1642;20190213;2026
14205;Candidato 14205;12;Curso 12;15;Processo 15;2019/1;;;;;;20190213;1642;;;;
14206;Candidato 14206;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1648;20190213;1653;;
14207;Candidato 14207;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1650;;;;
14208;Candidato 14208;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1653;;;;
14209;Candidato 14209;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1726;;;;
14210;Candidato 14210;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1752;20190213;1817;;
14211;Candidato 14211;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1753;20190213;2024;20190213;0
14211;Candidato 14211;4;Curso 4;39;Processo 39;2020/2;1;Boleto;0;0;200.00;20200608;839;20200608;841;20200612;0
14211;Candidato 14211;4;Curso 4;40;Processo 40;2020/2;;;0;0;;20200606;1431;20200606;1449;;
14212;Candidato 14212;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;1753;;;;
14213;Candidato 14213;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1808;20190213;1810;;
14214;Candidato 14214;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1830;20190213;1833;;
14215;Candidato 14215;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1836;20190214;1334;;
14216;Candidato 14216;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1842;20190213;1850;;
14217;Candidato 14217;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1935;20190215;1124;20190215;0
14218;Candidato 14218;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;1943;20190213;1947;;
14219;Candidato 14219;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;1956;20190213;2003;20190214;0
14220;Candidato 14220;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;2002;;;;
14220;Candidato 14220;4;Curso 4;21;Processo 21;2019/2;3;Isento;0;0;0.00;20190416;1946;20190416;1948;20190502;0
14221;Candidato 14221;4;Curso 4;16;Processo 16;2019/1;;;;;;20190213;2007;;;;
14222;Candidato 14222;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;2034;20190213;2043;20190213;0
14223;Candidato 14223;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;2204;20190213;2212;20190214;0
14224;Candidato 14224;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;2121;20190213;2125;;
14225;Candidato 14225;4;Curso 4;16;Processo 16;2019/1;1;Boleto;0;0;100.00;20190213;2125;20190215;1340;20190215;0
14225;Candidato 14225;4;Curso 4;21;Processo 21;2019/2;;;0;1;;20190511;1012;20190511;1013;;
14225;Candidato 14225;4;Curso 4;26;Processo 26;2020/1;;;0;1;;20191127;1543;20191127;1543;;
14225;Candidato 14225;4;Curso 4;39;Processo 39;2020/2;1;Boleto;0;0;200.00;20200629;1604;20200629;1608;20200629;0
14226;Candidato 14226;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;2147;20190213;2151;;
14227;Candidato 14227;4;Curso 4;16;Processo 16;2019/1;;;0;0;;20190213;2247;20190215;2154;;
